,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
0,"HESIOD

HESIOD’S WORKS AND DAYS

(ll.",37,"['HESIOD', 'HESIOD', '’', 'S', 'WORKS', 'AND', 'DAYS', '(', 'll', '.']","['hesiod', 'hesiod', '’', 's', 'works', 'and', 'days', '(', 'll', '.']","['hesiod', 'hesiod', '’', 's', 'works', 'and', 'days', 'll']","['hesiod', 'hesiod', '’', 'works', 'days']","[('hesiod', 'JJ'), ('hesiod', 'NN'), ('’', 'NNP'), ('works', 'VBZ'), ('days', 'NNS')]"
1,"1-10) Muses of Pieria who give glory through song, come hither,
tell of Zeus your father and chant his praise.",110,"['1-10', ')', 'Muses', 'of', 'Pieria', 'who', 'give', 'glory', 'through', 'song', ',', 'come', 'hither', ',', 'tell', 'of', 'Zeus', 'your', 'father', 'and', 'chant', 'his', 'praise', '.']","['1-10', ')', 'muses', 'of', 'pieria', 'who', 'give', 'glory', 'through', 'song', ',', 'come', 'hither', ',', 'tell', 'of', 'zeus', 'your', 'father', 'and', 'chant', 'his', 'praise', '.']","['1-10', 'muses', 'of', 'pieria', 'who', 'give', 'glory', 'through', 'song', 'come', 'hither', 'tell', 'of', 'zeus', 'your', 'father', 'and', 'chant', 'his', 'praise']","['1-10', 'muses', 'pieria', 'give', 'glory', 'song', 'come', 'hither', 'tell', 'zeus', 'father', 'chant', 'praise']","[('1-10', 'JJ'), ('muses', 'NNS'), ('pieria', 'VBP'), ('give', 'JJ'), ('glory', 'NN'), ('song', 'NN'), ('come', 'VB'), ('hither', 'NN'), ('tell', 'NN'), ('zeus', 'CD'), ('father', 'NN'), ('chant', 'NN'), ('praise', 'NN')]"
2,"Through him mortal men
are famed or un-famed, sung or unsung alike, as great Zeus wills.",88,"['Through', 'him', 'mortal', 'men', 'are', 'famed', 'or', 'un-famed', ',', 'sung', 'or', 'unsung', 'alike', ',', 'as', 'great', 'Zeus', 'wills', '.']","['through', 'him', 'mortal', 'men', 'are', 'famed', 'or', 'un-famed', ',', 'sung', 'or', 'unsung', 'alike', ',', 'as', 'great', 'zeus', 'wills', '.']","['through', 'him', 'mortal', 'men', 'are', 'famed', 'or', 'un-famed', 'sung', 'or', 'unsung', 'alike', 'as', 'great', 'zeus', 'wills']","['mortal', 'men', 'famed', 'un-famed', 'sung', 'unsung', 'alike', 'great', 'zeus', 'wills']","[('mortal', 'JJ'), ('men', 'NNS'), ('famed', 'VBD'), ('un-famed', 'JJ'), ('sung', 'NN'), ('unsung', 'NN'), ('alike', 'RB'), ('great', 'JJ'), ('zeus', 'NN'), ('wills', 'NNS')]"
3,"For
easily he makes strong, and easily he brings the strong man low; easily
he humbles the proud and raises the obscure, and easily he straightens
the crooked and blasts the proud,—Zeus who thunders aloft and has his
dwelling most high.",236,"['For', 'easily', 'he', 'makes', 'strong', ',', 'and', 'easily', 'he', 'brings', 'the', 'strong', 'man', 'low', ';', 'easily', 'he', 'humbles', 'the', 'proud', 'and', 'raises', 'the', 'obscure', ',', 'and', 'easily', 'he', 'straightens', 'the', 'crooked', 'and', 'blasts', 'the', 'proud', ',', '—Zeus', 'who', 'thunders', 'aloft', 'and', 'has', 'his', 'dwelling', 'most', 'high', '.']","['for', 'easily', 'he', 'makes', 'strong', ',', 'and', 'easily', 'he', 'brings', 'the', 'strong', 'man', 'low', ';', 'easily', 'he', 'humbles', 'the', 'proud', 'and', 'raises', 'the', 'obscure', ',', 'and', 'easily', 'he', 'straightens', 'the', 'crooked', 'and', 'blasts', 'the', 'proud', ',', '—zeus', 'who', 'thunders', 'aloft', 'and', 'has', 'his', 'dwelling', 'most', 'high', '.']","['for', 'easily', 'he', 'makes', 'strong', 'and', 'easily', 'he', 'brings', 'the', 'strong', 'man', 'low', 'easily', 'he', 'humbles', 'the', 'proud', 'and', 'raises', 'the', 'obscure', 'and', 'easily', 'he', 'straightens', 'the', 'crooked', 'and', 'blasts', 'the', 'proud', '—zeus', 'who', 'thunders', 'aloft', 'and', 'has', 'his', 'dwelling', 'most', 'high']","['easily', 'makes', 'strong', 'easily', 'brings', 'strong', 'man', 'low', 'easily', 'humbles', 'proud', 'raises', 'obscure', 'easily', 'straightens', 'crooked', 'blasts', 'proud', '—zeus', 'thunders', 'aloft', 'dwelling', 'high']","[('easily', 'RB'), ('makes', 'VBZ'), ('strong', 'JJ'), ('easily', 'RB'), ('brings', 'VBZ'), ('strong', 'JJ'), ('man', 'NN'), ('low', 'JJ'), ('easily', 'RB'), ('humbles', 'VBZ'), ('proud', 'JJ'), ('raises', 'NNS'), ('obscure', 'VBP'), ('easily', 'RB'), ('straightens', 'NNS'), ('crooked', 'VBD'), ('blasts', 'NNS'), ('proud', 'VBP'), ('—zeus', 'JJ'), ('thunders', 'NNS'), ('aloft', 'RB'), ('dwelling', 'VBG'), ('high', 'JJ')]"
4,"Attend thou with eye and ear, and make judgements straight with
righteousness.",78,"['Attend', 'thou', 'with', 'eye', 'and', 'ear', ',', 'and', 'make', 'judgements', 'straight', 'with', 'righteousness', '.']","['attend', 'thou', 'with', 'eye', 'and', 'ear', ',', 'and', 'make', 'judgements', 'straight', 'with', 'righteousness', '.']","['attend', 'thou', 'with', 'eye', 'and', 'ear', 'and', 'make', 'judgements', 'straight', 'with', 'righteousness']","['attend', 'thou', 'eye', 'ear', 'make', 'judgements', 'straight', 'righteousness']","[('attend', 'NN'), ('thou', 'NN'), ('eye', 'NN'), ('ear', 'VBP'), ('make', 'VBP'), ('judgements', 'NNS'), ('straight', 'VBD'), ('righteousness', 'NN')]"
5,"And I, Perses, would tell of true things.",41,"['And', 'I', ',', 'Perses', ',', 'would', 'tell', 'of', 'true', 'things', '.']","['and', 'i', ',', 'perses', ',', 'would', 'tell', 'of', 'true', 'things', '.']","['and', 'i', 'perses', 'would', 'tell', 'of', 'true', 'things']","['perses', 'would', 'tell', 'true', 'things']","[('perses', 'NNS'), ('would', 'MD'), ('tell', 'VB'), ('true', 'JJ'), ('things', 'NNS')]"
6,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
7,"11-24) So, after all, there was not one kind of Strife alone, but
all over the earth there are two.",99,"['11-24', ')', 'So', ',', 'after', 'all', ',', 'there', 'was', 'not', 'one', 'kind', 'of', 'Strife', 'alone', ',', 'but', 'all', 'over', 'the', 'earth', 'there', 'are', 'two', '.']","['11-24', ')', 'so', ',', 'after', 'all', ',', 'there', 'was', 'not', 'one', 'kind', 'of', 'strife', 'alone', ',', 'but', 'all', 'over', 'the', 'earth', 'there', 'are', 'two', '.']","['11-24', 'so', 'after', 'all', 'there', 'was', 'not', 'one', 'kind', 'of', 'strife', 'alone', 'but', 'all', 'over', 'the', 'earth', 'there', 'are', 'two']","['11-24', 'one', 'kind', 'strife', 'alone', 'earth', 'two']","[('11-24', 'JJ'), ('one', 'CD'), ('kind', 'NN'), ('strife', 'NN'), ('alone', 'RB'), ('earth', 'JJ'), ('two', 'CD')]"
8,"As for the one, a man would praise
her when he came to understand her; but the other is blameworthy: and
they are wholly different in nature.",141,"['As', 'for', 'the', 'one', ',', 'a', 'man', 'would', 'praise', 'her', 'when', 'he', 'came', 'to', 'understand', 'her', ';', 'but', 'the', 'other', 'is', 'blameworthy', ':', 'and', 'they', 'are', 'wholly', 'different', 'in', 'nature', '.']","['as', 'for', 'the', 'one', ',', 'a', 'man', 'would', 'praise', 'her', 'when', 'he', 'came', 'to', 'understand', 'her', ';', 'but', 'the', 'other', 'is', 'blameworthy', ':', 'and', 'they', 'are', 'wholly', 'different', 'in', 'nature', '.']","['as', 'for', 'the', 'one', 'a', 'man', 'would', 'praise', 'her', 'when', 'he', 'came', 'to', 'understand', 'her', 'but', 'the', 'other', 'is', 'blameworthy', 'and', 'they', 'are', 'wholly', 'different', 'in', 'nature']","['one', 'man', 'would', 'praise', 'came', 'understand', 'blameworthy', 'wholly', 'different', 'nature']","[('one', 'CD'), ('man', 'NN'), ('would', 'MD'), ('praise', 'VB'), ('came', 'VBD'), ('understand', 'RB'), ('blameworthy', 'JJ'), ('wholly', 'RB'), ('different', 'JJ'), ('nature', 'NN')]"
9,"For one fosters evil war and
battle, being cruel: her no man loves; but perforce, through the will
of the deathless gods, men pay harsh Strife her honour due.",158,"['For', 'one', 'fosters', 'evil', 'war', 'and', 'battle', ',', 'being', 'cruel', ':', 'her', 'no', 'man', 'loves', ';', 'but', 'perforce', ',', 'through', 'the', 'will', 'of', 'the', 'deathless', 'gods', ',', 'men', 'pay', 'harsh', 'Strife', 'her', 'honour', 'due', '.']","['for', 'one', 'fosters', 'evil', 'war', 'and', 'battle', ',', 'being', 'cruel', ':', 'her', 'no', 'man', 'loves', ';', 'but', 'perforce', ',', 'through', 'the', 'will', 'of', 'the', 'deathless', 'gods', ',', 'men', 'pay', 'harsh', 'strife', 'her', 'honour', 'due', '.']","['for', 'one', 'fosters', 'evil', 'war', 'and', 'battle', 'being', 'cruel', 'her', 'no', 'man', 'loves', 'but', 'perforce', 'through', 'the', 'will', 'of', 'the', 'deathless', 'gods', 'men', 'pay', 'harsh', 'strife', 'her', 'honour', 'due']","['one', 'fosters', 'evil', 'war', 'battle', 'cruel', 'man', 'loves', 'perforce', 'deathless', 'gods', 'men', 'pay', 'harsh', 'strife', 'honour', 'due']","[('one', 'CD'), ('fosters', 'NNS'), ('evil', 'JJ'), ('war', 'NN'), ('battle', 'NN'), ('cruel', 'NN'), ('man', 'NN'), ('loves', 'VBZ'), ('perforce', 'JJ'), ('deathless', 'JJ'), ('gods', 'NNS'), ('men', 'NNS'), ('pay', 'VBP'), ('harsh', 'JJ'), ('strife', 'NN'), ('honour', 'NNS'), ('due', 'JJ')]"
